,retail,period,area,kod_retail,group,kod_sku,weight,brand,quantity,purchase_price,sales_price,total_purchase,total_sales,profit
101,1,3,nizhny novgorod region,1126,торты  вафельные,3523266,250,14,49,55.03571429,82.31897959,2696.75000021,4033.6299999099997,1336.8799996999996
102,1,3,orenburg region,1177,вафли,181770,43,6,144,35.97319444,46.57402778,5180.13999936,6706.66000032,1526.5200009600003
103,1,3,orenburg region,1177,вафли,3123905,150,10,84,27.19702381,36.63690476,2284.55000004,3077.49999984,792.9499997999997
104,1,3,orenburg region,1177,вафли,3592933,400,1,51,38.99627451,80.99392157,1988.81000001,4130.69000007,2141.8800000599995
105,1,3,orenburg region,1177,вафли,3743049,40,5,313,11.01501597,14.79357827,3447.69999861,4630.38999851,1182.6899998999997
106,1,3,orenburg region,1177,вафли,4116685,43,6,53,35.53660377,53.43283019,1883.43999981,2831.9400000699998,948.5000002599998
107,1,3,orenburg region,1177,вафли,4197866,200,10,69,17.53362319,28.72942029,1209.82000011,1982.33000001,772.5099999000001
108,1,3,orenburg region,1177,вафли,4219438,160,,45,35.47177778,48.63977778,1596.2300000999999,2188.7900001000003,592.5600000000004
109,1,3,orenburg region,1178,вафли мягкие,3335240,100,17,66,15.99242424,20.54787879,1055.49999984,1356.16000014,300.66000029999987
110,1,3,orenburg region,1178,вафли,125299,220,5,59,30.90389831,50.89389831,1823.33000029,3002.74000029,1179.4099999999999
111,1,3,orenburg region,1178,вафли,3264878,290,13,88,32.90772727,49.72045455,2895.8799997600004,4375.4000004,1479.5200006399996
112,1,3,orenburg region,1178,вафли,3743049,40,5,176,10.96409091,14.42971591,1929.68000016,2539.6300001600002,609.9500000000003
113,1,3,orenburg region,1178,вафли,3774152,39,6,80,35.825875,46.138000000000005,2866.07,3691.0400000000004,824.9700000000003
114,1,3,saint petersburg,1052,вафли,181770,43,6,104,36.77461538,51.24759615,3824.55999952,5329.7499996,1505.1900000799997
115,1,3,saint petersburg,1052,вафли,3123905,150,10,79,26.96139241,37.34683544,2129.95000039,2950.39999976,820.4499993700001
116,1,3,saint petersburg,1052,вафли,3500071,220,5,57,32.01859649,49.01561404,1825.05999993,2793.89000028,968.8300003500001
117,1,3,saint petersburg,1052,вафли,3556408,220,5,78,33.80461538,49.62371795,2636.75999964,3870.6500001,1233.89000046
118,1,3,saint petersburg,1052,вафли,3774152,39,6,127,36.19425197,46.31228346,4596.670000190001,5881.6599994200005,1284.9899992299997
119,1,3,saint petersburg,1052,вафли,3791711,400,1,54,47.47166667,64.48518519,2563.4700001799997,3482.20000026,918.7300000800001
120,1,3,saint petersburg,1052,вафли,3791712,400,1,55,44.96236364,71.86472727,2472.9300002,3952.55999985,1479.6299996500002
121,1,3,saint petersburg,1052,вафли,4116685,43,6,334,35.38023952,27.53146707,11816.999999680002,9195.51000138,-2621.4899983000014
122,1,3,saint petersburg,1052,вафли,4164637,180,2,69,26.18536232,40.20318841,1806.79000008,2774.02000029,967.2300002100001
123,1,3,saint petersburg,1052,вафли,4196107,22,8,48,21.66,37.945,1039.68,1821.3600000000001,781.6800000000001
124,1,3,saint petersburg,1127,вафли мягкие,3335226,150,17,89,24.47808989,35.22595506,2178.55000021,3135.1100003399997,956.5600001299999
125,1,3,saint petersburg,1127,вафли мягкие,3335240,100,17,132,16.48643939,35.84878788,2176.20999948,4732.04000016,2555.83000068
126,1,3,saint petersburg,1127,вафли мягкие,3774087,620,11,65,103.05384620000001,164.45876919999998,6698.500003000001,10689.819997999999,3991.319994999998
127,1,3,saint petersburg,1127,вафли мягкие,4073876,50,R01F,51,9.107058824,17.65509804,464.46000002399995,900.4100000399999,435.95000001599993
128,1,3,saint petersburg,1127,вафли,124647,220,5,129,30.3844186,55.75418605,3919.5899994,7192.29000045,3272.7000010499996
129,1,3,saint petersburg,1127,вафли,125299,220,5,125,30.34648,50.46632,3793.31,6308.29,2514.98
130,1,3,saint petersburg,1127,вафли,2250092,200,13,91,28.38538462,49.83967033,2583.07000042,4535.4100000299995,1952.3399996099997
131,1,3,saint petersburg,1127,вафли,3391397,190,13,138,25.38021739,48.49253623,3502.46999982,6691.96999974,3189.4999999200004
132,1,3,saint petersburg,1127,вафли,3556408,220,5,56,32.32642857,54.34089286,1810.27999992,3043.09000016,1232.81000024
133,1,3,saint petersburg,1127,вафли,3730860,300,10,119,48.21327731,72.51067227,5737.37999989,8628.77000013,2891.3900002399996
134,1,3,saint petersburg,1127,вафли,3730870,300,10,45,44.87555556,72.79844444,2019.4000002,3275.9299997999997,1256.5299995999997
